xml:id,forename,surname,addName,role,trait_texts,birth_date,birth_place,death_date,death_place,nationality,works,ulan,bnf,viaf,isni,vat,wikidata
LucasVanLeyden,Lucas van,Leyden,Lucas de Holande; Lucas d'Holande; Luca di Olanda; Lucas de Leide; Lucas de Leyde; LUCAS DE LEYDE,peintre et graveur néerlandais,"Lucas was a prolific and influential printmaker. His early prints show the influence of his slightly older German contemporary, Albrecht
            Dürer. His work after 1525 is influenced by the Italian Renaissance, which reached Lucas through the prints by Marcantonio Raimondi and
            the work of Jan Gossart. Lucas was also a painter and an exceptionally talented draftsman.",1494-05-01,Leiden,1533,Leiden,Pays-Bas septentrionaux,,500020789,11939477b,95809141,0000000355437835,495/15231,Q320980
LiberPater,Liber,Liber Pater,Liber; pere Liber,dieu romain de la fertilité et du vin,N/A,,N/A,,N/A,,,,,17155951730942512166,,,Q1145491
BernardinoLicinio,Bernardino,Licinio,Bernardino Licinio,peintre vénitien,Disciple de Pordenone et Oncle de Giulio Licinio,1489-01-01,1479,1565-01-01,1579,république de Venise,,500018969,,67533645,,,Q2629038
GiulioLicinio,Giulio,Licinio,Pordenon le Jeune; Neveu nommé Pordenon; PORDENON LE JEUNE; Julius Licinius; Jule Licinio; JULE LICINIO,peintre italien,Pordenon le Jeune,1527-01-01,1527,1591-04-28,1603,république de Venise,,500031502,,95875736,,,Q2013006
Lucullus,Lucius,Licinius Lucullus,Lucullus; Luculle; Lucule,consul romain en 74 av. J.-C.,"homme politique de la Rome antique, militaire romain",0117,Rome antique,0056,N/A,Rome antique,,,12486076g,50021288,000000011762669X,495/44523,Q242819
PirroLigorio,Pirro,Ligorio,Pirro Ligorio; Ligorio,architecte-jardinier italien du maniérisme,Comment on works: Architect; Painter,1513-01-01,Napoli,1583-10-30,Ferrara,Italie,,500018431,103186683,314494,0000000118385728,495/72381,Q736090
JacopoLigozzi,Jacopo,Ligozzi,Giacomo Ligozzi,peintre italien,"On trouve aussi ""Giacomo Ligozzi"" chez Lomazzo (Idea).",1547-01-01,Verona,1627-01-01,Firenze,république de Venise,,500011933,103618262,46750228,0000000121308790,495/75778,Q1337128
CharesDeLindos,Charès de,Lindos,Charès de Lindos; Caretés de Lyndos; Chares de Lindos; Lindien,sculpteur grec du IVe siècle av. J.-C,"sculpteur ou sculptrice, maître d’œuvre",0400-01-01,Lindos,0280-01-01,Rhodes,,,500123646,,94150868312322072807,0000000037613231,,Q449057
FilippinoLippi,Filippino,Lippi,PHILIPPE LIPPI; Lippi,peintre italien (1457-1504),Comment on works: religious | Fils de Fra FilippoLippi,1457-01-01,Prato,1504-04-18,Firenze,Italie,,500018029,12000391d,100260937,0000000121033950,495/260018,Q296265
FraFilippoLippi,Filippo,Lippi,Fra Filippo Lippi; Frere Filipe Filipini; PHILIPPE LIPPI; Philippe Lippi; Filipe Lippi; Lippi; Lippo,peintre italien,Comment on works: religious,1406-01-01,Firenze,1469-10-08,Spoleto,République florentine,,500019158,12135152z,88683746,000000010815407X,495/4459,Q205148
JoostLips,Joost,Lips,Juste Lipse; Lipse,"juriste érudit flamand, théoricien de la défense civile","grammairien, historien ou historienne, philosophe, érudit classique, philologue, humaniste, professeur ou professeure d'université,
            écrivain ou écrivaine",1547-10-18,Overijse,1606-03-23,Louvain,Pays-Bas espagnols,,500321549,12036983h,51706656,000000012132706X,495/3509,Q315871
Liutprand,Liutprand,Liutprand,Liutprand; Luitprand,roi des Lombards,souverain | Roi des Lombards de 712 à 744.,0680,Milan,0744-01-01,Pavie,Royaume lombard,,,,47155269,,,Q251836
NicolasLoir,Nicolas,Loir,NICOLAS LOIR; Loire,peintre français,Comment on works: History; Religious; Mythology,1624-05-05,Paris,1679-05-06,Paris,France,,500016423,14963360x,64277317,0000000066315380,495/128860,Q3340535
GiovanniPaoloLomazzo,Giovanni Paolo,Lomazzo,Jean-Paul Lomasse Milanois; IOANNEM PAVLVM LOMATIVM; Giovanni Paolo Lomazzo; GIOVANNI PAOLO LOMAZZO; Giovan Paulo Lomazzo; JOANNIS PAULI LOMASI; Gio. Paolo Lomazzo; GIO. PAOLO LOMAZZO; Gio. Paolo Lomazzi; JEAN PAUL LOMASSE; Jean Paul Lomasse; IO. PAVLI HOMATII; Jean Pol Lomasse; Paolo Lomazzo; Paul Lommazzo; Paul Lomasse; Paul Lomazzo; P. Lomazzo; Lomazzi; Lomasso; Lomazzo; LOMASSE; Lomasse; Lomati,peintre italien,N/A,1538-05-06,Milan,1592-01-27,Milan,Italie,,500008109,12358011k,88350517,0000000121427781,495/210778,Q982538
LambertLombard,Lambert,Lombard,LAMBERT LOMBARD; Lambert Lombard; Lombard,artiste de la Renaissance,Flemish painter and architect. Comment on works: Religious,1505-01-01,Liège,1566-08-01,Liège,Pays-Bas méridionaux,,500020079,13174651q,69069784,0000000115736406,,Q983189
AlfonsoLombardi,Alfonso,Lombardi,Alfonse Lombardi,sculpteur italien,N/A,1497-01-01,Ferrara,1537-12-02,Bologna,,,500027968,11942584d,95854275,0000000400145090,495/326946,Q1103494
CristoforoLombardo,Cristoforo,Lombardo,Christofle Lombard,architecte est sculpteur italien,"Sculptor who worked on plans for the north portal of the Milan Cathedral. He executed a relief intended for the door which depicted the
            Presentation of the Virgin. This is now situated on the left pier at the entrance of the Lady Chapel. Lombardi also supervised and advised
            on other important religious buildings in Milan. | dit le Lombardino",1475,Milano,1555-09,Milano,,,500044528,,95973427,,,Q60040609
GirolamoLombardo,Girolamo,Lombardo,Maître Jerôme,sculpteur italien,,1506-01-01,Ferrara,1590-01-01,Loreto,,,500050768,,89040638,0000000062667901,,Q3768939
TommasoLombardo,Tommaso,Lombardo,Tomas de Lugan,"artist, sculptor",Comment on works: sculptor,1471,N/A,1630,N/A,,,,,,,,
DomenicoLonati,Domenico,Lonati,Dominico Lonati,architecte,"On trouve aussi ""Giovan Domenico Lonati"".",,,,,,,,,,,,
PietroAntonioLonati,Pietro Antonio,Lonati,Pietro Antonio,,,,,,,,,,,,,,
OnorioLonghi,Onorio (Martino),Longhi,Lunghi/Longo; Messer Honorio Longhi; Honorio Longi,architecte italien,,1568-10-12,Viggiu,1619-12-31,Roma,,,500013856,,89123763,0000000116833419,,Q2024585
FranciscoLopezDeGomara,Francisco,Lopez de Gomora,Francisco López de Gómara; Francois Lopez de Gomara,historien espagnol,"chroniqueur ou chroniqueuse, historien ou historienne | Historien espagnol",1511-02-02,Gómara,1564,Gómara,Espagne,,,12072395q,99910474,0000000117771221,495/22022,Q721423
AngeloDiLorentino,"Angelo, di",Lorentino d'Arezzo,LAURENTININO D’ANGELO d'Arezzo; LAURENTINO D’ANGELLO,peintre italien,N/A,1465,Arezzo,1527-08-23,Arezzo,,,500006167,,95718391,,,Q3617296
AmbrogioLorenzetti,Ambrogio,Lorenzetti,Ambrogio Lorenzetti; AMBROGIO LORENZETTI; Lorenzetti,peintre italien,"Italian artist, Siena. Comment on works: religious",1290,Siena,1348-06-09,Siena,République de Sienne,,500012547,12446547f,100916572,0000000116923078,,Q211562
PietroLorenzetti,Pietro,Lorenzetti,PIETRO LAURATI; Pietro Laurati; Laurati,peinture italien,Italian painter. Comment on works: Mythology; Religious,1280,Siena,1348,Siena,République de Sienne,,500030946,14965974r,172313064,0000000122477537,495/41970,Q309635
BattistaLorenzi,Battista,Lorenzi,Batiste Lorenzi,sculpteur italien,N/A,1527-01-01,Settignano,1594-01-07,Pisa,Italie,,500001164,,77162687,0000000027794278,,Q1525885
BuonaiutoLorini,Buonaiuti,Lorini,Lorini,n/a,"architecte, ingénieur militaire",,Florence,1611-01-01,Venise,république de Venise,,,144823142,181425499,0000000447166753,495/221167,Q18945105
CharlesDeLorraine,Charles de,Lorraine,Charles de Lorraine; le Cardinal de Lorraine; Cardinal de Lorraine,,vérifier si il s'agit du cardinal (1524-1574) ou d'un autre Charles de Lorraine,,,,,,,,,,,,
CharlesIIILorraine,Charles III de,Lorraine,Charles III de Lorraine; Charles de Lorraine; Duc de Lorraine,duc de Lorraine et de Bar,"monarque, personnalité politique",1543-02-18,Nancy,1608-05-14,Nancy,France,,,11683683w,59905716,0000000373919897,495/133570,Q505040
Loth,Loth,Loth,Loth; Lotto,personnage biblique,N/A,,N/A,,N/A,,,,,78024191,0000000032243569,,Q40574
LouisIX,Louis,Louis IX,Louis IX; saint Louis,roi de France capétien de 1226 à 1270 canonisé par l'Église catholique,"dirigeant ou dirigeante, miles christianus, monarque | Roi de France de 1226 à 1270",1214-04-25,Poissy,1270-08-25,Tunis,France,,500245812,120344600,89182909,0000000121429736,495/78661,Q346
LouisXI,Louis,Louis XI,Louis XI de France; Lodovico undecimo,roi de France de 1461 à 1483,personnalité politique | Roi de France de 1461 à 1483,1423-07-03,Bourges,1483-08-30,château de Plessis-lès-Tours,France,,500354831,121082243,262252890,0000000381774851,495/90407,Q8058
LouisXII,Louis,,Louis XII; Louis douziéme; Lodovico XII,roi de France de 1498 à 1515,souverain | Roi de France,1462-06-27,château de Blois,1515-01-01,hôtel des Tournelles,France,,500236360,12214255s,88890786,0000000121029388,495/101965,Q58514
LouisXIII,Louis,,Louis XIII; Louis treizieme; Roy LOUIS XIII; Louys XIII; LOUIS XIII; Loüis XIII; Louïs XIII,roi de France et de Navarre de 1610 à 1643,personnalité politique | Roi de France,1601-09-27,Fontainebleau,1643-05-14,Saint-Germain-en-Laye,royaume de France,,500059708,11913462f,64008583,0000000121018654,495/72633,Q737533
LouisXIV,Louis,,Louis XIV; LOUIS LE GRAND; Louis le Grand; LOUIS le Grand; LOUIS XIV,roi de France et de Navarre de 1643 à 1715,"personnalité politique, collectionneur ou collectionneuse d'œuvres d'art, acteur ou actrice, monarque, homme d'État | Roi de France",1638-09-05,château de Saint-Germain-en-Laye,1715-09-01,château de Versailles,royaume de France,,500122256,11913463s,268675767,0000000383255772,495/73975,Q7742
IgnaceDeLoyola,Ignace de,Loyola,Ignace de Loyola; saint Ignace,"saint catholique, fondateur au XVIe s. de la Compagnie de Jésus","prêtre catholique de rite romain, soldat, fondateur d'ordre, théologien catholique | Prêtre, théologien, fondateur des Jésuites, saint de l'Eglise catholique.",1491-10-23,N/A,1556-07-31,Rome,couronne de Castille,,500353757,11908177n,88881025,0000000121428944,495/24837,Q44281
Lucifer,Satan,Lucifer,"Le Diable, Satan; Lucifero; Lucifer",personnage incarnant le mal et l'opposition à Dieu dans les religions abrahamiques,"N/A | Le Diable, Satan.",,N/A,,N/A,,,,,1087163706538729420822,,492/47987,Q35230
Apulee,Apulée,Lucius Apuleius,Apulée; Apuleio,écrivain et philosophe romain,"écrivain ou écrivaine, philosophe, romancier ou romancière, poète ou poétesse, rhéteur ou rhétrice, médecin | Aussi connu sous le nom d'Apulée.",0125,M'daourouch,0170,Carthage,Rome antique,,,125686918,32115433,0000000121268143,495/43192,Q170512
Lucrece,Lucrèce,Lucrèce,Lucrèce; Lucresse; Lucrece,femme romaine dont le viol conduit à la fin de la monarchie romaine,N/A,0600,N/A,0509,Rome,Rome antique,,500340136,,47554385,0000000448872246,,Q229432
MarcusLudius,Marcus,Ludius,Marcus Ludius,,,,,,,,,,,,,,
Lorenzetto,"Lorenzo, di","Ludovico, di Guglielmo","Lorenzo Lotti, Lorenzo Lotto, Lorenzetto; Lorenzo Lotto",artiste italien,"He may have been associated with the workshop of Andrea Sansovino in Florence. | dit Lorenzo Lotti, Lorenzo Lotto ou Lorenzetto",1490-06-23,Firenze,1541-01-01,Roma,,,500016487,,25467724,0000000066811368,,Q1363951
LudovicoLudovisi,Ludovico,Ludovisi,Ludovico Ludovissio; Signor Cardinale Ludovico Ludovissio,cardinal de l'Église catholique romaine,"diplomate, prêtre catholique, évêque catholique | aussi écrit Ludovico Ludovissio",1595-10-27,Bologne,1632-11-18,Bologne,,,,120504566,66485493,0000000109102976,495/128897,Q707750
AurelioLuini,Aurelio,Luini,Aurelio Lovino; Aurelio Lovini,peintre italien,dit Aurelio Lovino,1530-01-01,Luino,1593,Milano,Italie,,500013175,16924141s,52586248,0000000079960231,,Q1071000
BernardinoLuini,Bernardino,Luini,Bernardino Lovino; Bernardin Lovin; Bernardo Lovino; Lovino; Lovini,peintre italien,He may have been born in Luini and died in Lugano. | dit Bernardino Lovino,1480,Dumenza,1532,Milan,Italie,,500008110,149528856,64275349,000000008144018X,495/105370,Q8537
MargaritaLuti,Margarita,Luti,Margherita Luti; Margarita Luti,modèle de Raphaël,"modèle | La Fornarina, maîtresse de Raphaël",1500,Sienne,1522,Rome,,,,,160328287,,,Q14798562
LorenzoLuzzo,Lorenzo,Luzzo,Morto da Feltro; MORTUO D'A FELTRO; Mortuo,peintre italien,,1480,Feltre,1527,Venezia,république de Venise,,500020790,,305486759,,,Q2307438
Lycurgue,Lycurgue,Lycurgue,Lycurgue,législateur mythique de Sparte,législateur ou législatrice,0800,Sparte,0730,Kírra,Sparte,,,,54941719,,,Q211326
SaintGeorges,Georges de,Lydda,Georges de Lydda; santo Georgio; saint Georges; Sainct George; Saint George; SAINT GEORGE; saint George; San Giorgio; S. George.; S. Giorgio; S. George,saint catholique et orthodoxe (mort en 303),"soldat, Sauroctones, thaumaturge",0275,Kayseri,0303-04-23,Nicomédie,Rome antique,,,,27862930,0000000013642652,,Q48438
Lysandre,Lysandre,Lysandre,Lysandre; Lisander,général spartiate,"personnalité politique, militaire",0401-01-01,Sparte,0395-01-01,Haliarte,Sparte,,,,18558983,,,Q143559
AndreLebre,André,Lèbre,Andreas Lebre,peintre français,N/A,1629-01-01,Toulouse,1700-12-13,Toulouse,France,,500078898,,96243317,000000007035397X,,Q28016969
Lea,Lea,Léa,Léa; Lia,fille de Laban,personne au foyer,1731,Paddan-Aram,1665,Canaan,,,,,18705243,,,Q128847
Leochares,Léocharès,Léocharès,Léocharès; Leocharés; Leocares,sculpteur grec,sculpteur ou sculptrice,0400-01-01,Athènes,0400-01-01,N/A,Athènes,,500092954,,96361689,,,Q323430
LeonIIIIsaurien,Léon,Léon III,Léon III l'Isaurien; Leon l’Isaurien; Leon Isaure,empereur byzantin de 717 à 741,militaire | Empereur byzantin de 741 à 775,0675-01-01,Kahramanmaraş,0741-06-18,Constantinople,Empire byzantin,,,12183014p,285128475,0000000092980157,,Q31755
LeonIV,Léon,Léon IV,Léon IV; Leon IV,pape de l’Église catholique romaine,"prêtre catholique, écrivain ou écrivaine, évêque catholique | Pape de 847 à 855",0790-01-01,Rome,0855-07-17,Rome,,,,13486352f,251109897,0000000371458361,495/11474,Q228205
LeonIVKhazar,Léon,Léon IV,Léon IV le Khazar,empereur byzantin de 775 à 780,dirigeant ou dirigeante | Empereur byzantin de 775 à 780,0750-01-25,Constantinople,0780-09-08,N/A,Empire byzantin,,,,281645835,,,Q41645
Levi,Lévi,Lévi,Lévi; Levy,troisième des douze fils de Jacob,N/A,1566,Paddan-Aram,1429,N/A,,,,,30344715,,,Q215512
Macrobe,Flavius,Macrobius Ambrosius Theodosius,N/A; Macrobio,n/a,"personnalité politique | Aussi connu sous le nom de ""Macrobe"".",,N/A,0408-08-13,N/A,Rome antique,,,,,,,Q3842165
LaodiceDeMacedoine,Laodicé de Macédoine,Macédoine,mère de Séleucos Ier,"épouse d'Antiochos, mère de Séleucos Ier",N/A | mère de Séleucos Ier,0400,N/A,0400,N/A,royaume de Macédoine,,,,,,,Q446503
PhilippeIIMacedoine,Philippe,Macédoine,Philippe II de Macedoine; Filippo re di Macedonia; Philippe de Macedone; Philippe II,"roi de Macédoine, père d'Alexandre le Grand",monarque,0385,N/A,0336,Aigai,royaume de Macédoine,,500323993,119544270,262339539,0000000381727246,495/90391,Q130650
CarloMaderno,Carlo,Maderno,le Maderne,architecte italien,Maderno became architect of St. Peter's in 1603 and completed the church with its nave (1609-1616) and façade (1607-1612).,1556-05-14,Capolago,1629-01-30,Roma,Suisse,,500007668,144976447,74649304,0000000080778410,495/73670,Q122328
CristoforoMadruzzo,Cristoforo,Madruzzo,Cristoforo Madruzzo; Cardinal Maducio,cardinal de l'Église catholique romaine,"prêtre catholique, évêque catholique",1512-07-05,Calavino,1578-07-05,Tivoli,,,,12518620q,59192038,0000000061539449,495/99966,Q683106
AlessandroMaganza,Alessandro,Maganza,Alessandro Maganza,peintre italien,,1556-01-01,Vicenza,1632-01-01,Vicenza,république de Venise,,500015224,,62635921,0000000083882272,495/75916,Q2623038
MarieMadeleine,"Marie, de",Magdala,Marie Madeleine; Saincte Magdeleine; Marie Magdelaine; la Magdeléne; Magdeleine; Magdelaine; Magdeléne; Maddalena; Madalena,disciple de Jésus,"aidant, théologien ou théologienne",,Magdala,0100,Éphèse,,,,120479609,221986199,0000000385315011,,Q63070
GiovanniMaggi,Giovanni,Maggi,Jean Maggi,architecte italien,"Italian cartographer, architectural theorist, and painter. Comment on works: painter; printmaker",1566,Rome,1618-01-01,Rome,,,500006728,12314659f,32065588,0000000121267642,495/45238,Q21369214
Maggiore,Giovanni Ambrogio,Maggiore,Giovan Ambrogio Maggiore; Maggiore,"craftspeople, turners",N/A,1550-01-01,Milan,1598-01-01,Rome,,,500075288,,96213176,,,Q18508239
SimonMagicien,Simon,Magicien,Simon le Magicien; Simon Magus,mage gnostique du Ier siècle,"maître spirituel, mage",0050,Samarie,0065,Rome,Judée,,,,215995336,0000000359231156,,Q294795
Soliman,Soliman,Magnifique,"Soliman le Magnifique, Soliman Ier; Soliman",sultan ottoman et calife de 1520 à 1566,"poète ou poétesse, dirigeant ou dirigeante, législateur ou législatrice, chef militaire, personnalité politique, sultan | Soliman le Magnifique ou Soliman le Législateur",1494-11-06,Trébizonde,1566-09-07,Szigetvár,Empire ottoman,,500126202,12033237p,89743257,0000000121029740,495/51270,Q8474
Mahomet,Mahomet,Mahomet,Mahomet,chef politique arabe et fondateur de l’islam,"gardien de troupeau, expéditeur, marchand, prophète ou prophétesse, prédicateur, personnalité politique, chef militaire",0570,La Mecque,0632-06-08,Médine,,,500404139,12085994z,97245226,0000000121032851,,Q9458
BenedettoDaMaiano,Benedetto da,Maiano,Benedetto da Maiano; Benoît de Maiano; le Maiano,artiste et architecte italien,Italian sculptor. Comment on works: sculptor,1442-01-01,Firenze,1497-05-24,Firenze,Italie,,500006675,12474587t,79111184,0000000117718973,495/176811,Q675619
EmmanuelMaignan,Emmanuel,Maignan,Emmanuel Maignan; Père Magnan Religieux Minime; Pere Magnan; P.Magnan,théologien et physicien français du XVIIe siècle,"physicien ou physicienne, théologien ou théologienne | Théologien et physicien",1601-07-17,Toulouse,1676-10-29,Toulouse,France,,500156523,130127157,17356157,0000000110218933,495/143154,Q3052782
BastianoMainardi,Bastiano,Mainardi,Sebastien Mainard,peintre italien (1460-1513),He probably died in Florence. Comment on works: religious,1466,San Gimignano,1513-09-01,Firenze,Italie,,500006581,14972125t,311028999,000000012103219X,,Q785254
IsaacMajor,Isaac,Major,Isaac Mayer,peintre et graveur allemand,,1576,Frankfurt am Main,1645-01-01,Wien,Allemagne,,500006314,,87297295,,,Q21708176
HerculeMalatesta,Ercole,Malatesta,Ercole Malatesta; Hercule Malateste,n/a,N/A,,Mirandola,1591,Legnano,,,,,,,,Q3731200
SigismondMalatesta,Sigismond,Malatesta,Sigismondo Pandolfo Malatesta,commandant italien (1417–1468),"condottiere, chef militaire, mercenaire, poète ou poétesse | seigneur de Rimini, Fano et Cesena, est un condottière membre de la famille Malatesta, seigneurs de Rimini de 1295 à 1500.",1417-06-19,Brescia,1468-10-07,Rimini,,,500339401,119394880,50021300,0000000081291225,495/17948,Q506640
FrancoisDeMalherbe,François de,Malherbe,François de Malherbe; Malherbe,poète français,"poète ou poétesse, écrivain ou écrivaine, traducteur ou traductrice, critique littéraire",1555-01-01,Caen,1628-10-16,Paris,France,,,12327103c,46831035,0000000110606733,495/143152,Q358574
ulan_500027513,Carlo Cesare,Malvasia,,historien de l'art italien,N/A,1616-12-18,Bologne,1693-03-10,Bologne,,,500042074,123359039,41912339,0000000083431551,495/7263,Q1160847
CarloCesareMalvasia,Carlo Cesare,Malvasia,Carlo Cesare Malvasia; Comte de Malvasia; le Comte Malvasie; Le Comte Malvasie; Comte Malvasie; Malvazzia; Malvasio,historien de l'art italien,"historien ou historienne de l'art, antiquaire",1616-12-18,Bologne,1693-03-10,Bologne,,,500042074,123359039,41912339,0000000083431551,495/7263,Q1160847
CarelVanMander,"Carel, van",Mander,CHARLES VER-MANDER; Charles Van-Mandre; Charles Ver-Mandre; Carlo Vanmander; Van-Mandre; Van-Mander,peintre et écrivain flamand,"Famous as the author of the first history of Dutch and Flemish painting, published in 1604; known also for his cabinet pictures. Comment
            on works: History; Religious; Landscapes; Genre",1548-05,Meulebeke,1606-09-11,Amsterdam,Pays-Bas des Habsbourg,,500010579,124104295,121932539,0000000120335172,495/15131,Q206173
BartolomeoManfredi,Bartolomeo,Manfredi,BARTHOLOMEO MANFRED; Manfréde; Manfrede,peintre italien,,1582,Ostiano,1622-01-01,Roma,Italie,,500019094,14912080f,95798511,000000007004398X,,Q721166
FrancoisMansart,François,Mansart,Mansart,architecte français,French architect.,1598-01-23,Paris,1666-09-23,Paris,France,,500031848,12525387n,95877949,0000000121443909,495/220230,Q313701
GiovanniMansueti,Giovanni di Niccolo,Mansueti,Jean Mansueti,peintre italien,Comment on works: religious,1465,Venise,1527-03-26,Venise,république de Venise,,500020377,,241937627,0000000448906178,,Q347842
AndreaMantegna,Andrea,Mantegna,André Montaigne; André Manteigne; ANDRE MANTEIGNE; André Manteigne; Andrea Mantegna; André Mantegna; Andre Mantegne; André Mantegné; André Montagne; André Mantegne; André Mantouan; Andre Mantege; Manteigne; Monteigne; Mantegna,peintre et graveur italien de la Renaissance,"He was an influential artist with a precise, seemingly sculptural painting style that reflects influences of classical art and
            architecture. He was best known for bold and innovative use of perspective and foreshortening; he experimented with composition and media.
            Mantegna's date of birth is assumed, based on an altarpiece inscription with the date 1448 and a note that the artist was 17 at the time.
            He was probably born at Isola di Carturo, near Padua, where the birth of his brother Tommaso was documented. His father Biagio was a
            carpenter. At the age of eleven, Mantegna entered the workshop of Francesco Squarcione, who legally adopted him after the death of his
            father. At seventeen, Mantegna won his independence from Squarcione after bringing him to court for exploitation and fraud. Comment on
            works: History; Religious; Allegory",1431-01-01,Padova,1506-09-13,Mantova,république de Venise,,500004218,120459468,27084155,0000000121251886,495/75863,Q5681
FredericIIMantoue,Frederic II,Mantoue,Frédéric II de Mantoue; Frideric Marquis de Mantoué; Frederic II. Duc de Mantoue; Fréderic de Gonzagues; Federic de Mantoue; Federigo II.,n/a,"collectionneur ou collectionneuse d'œuvres d'art, mécène | Marquis puis duc de Mantoue",1500-05-17,Mantoue,1540-08-28,Marmirolo,,,500115088,12485128n,59186552,0000000083861252,495/313807,Q932200
VincentIdeMantoue,"Vincent Ier, de",Mantoue,Vincent Ier de Mantoue; Vincent de Mantoue; Vincenzo di Mantova,n/a,"collectionneur ou collectionneuse d'œuvres d'art, mécène",1562-09-21,Mantoue,1612-02-09,Mantoue,,,500115124,12377458h,5726855,0000000066293767,495/71928,Q452580
RinaldoMantovano,Rinaldo,Mantovano,Rinaldo Mantovano; Rinaldi,peintre italien,,1501,Mantoue,1600,N/A,,,500008394,,95732258,,,Q3432160
DianaScultoriGhisi,Diana,Mantuana,Diana Scultori Ghisi; Diane Ghisi,"artist, engraver, engraver, painter, printmaker",Comment on works: Painter; Religious; Genre; History,1547-01-01,Mantova,1612-04,Roma,Italie,,500018707,12382772w,79099956,0000000118276644,495/182303,Q3026163
GiovanniBattistaMantuano,Giovanni Battista,Mantuano,Jean Baptiste Mantouan; Jean Batiste Mantouan; Jean Baptiste Mantouano; Jean-Batiste Mantouano,peintre et graveur italien (1503-1575),N/A | aussi connu sous le nom de Giovanni Battista Sculptore,1503,Mantoue,1575-12-12,Mantoue,marquisat de Mantoue,,500008510,14974695v,33057703,0000000059828911,495/182302,Q3107069
AldoManuzio,Aldo,Manuzio,Alde Manuce; Aldo Manuccio; Aldo Manucci,imprimeur et humaniste italien du XVIe siècle,"créateur de caractères, éditeur ou éditrice, tuteur ou tutrice, typographe, imprimeur ou imprimeuse, éditeur ou éditrice | Imprimeur et homme de lettres ; Alde Manuce le jeune en français",1449-01-01,Bassiano,1515-02-06,Venise,république de Venise,,500088706,131639304,96325760,0000000121444450,495/61967,Q213220
CarloMaratti,Carlo,Maratti,Carlo Marati,peintre et graveur italien,"Son of a Dalmatian father. Known as the last major Italian artist of the classical tradition, which had originated with Raphael. He
            created a grandiose and decorative style that was valued by his ecclesiastical patrons. Comment on works: History; Religious.",1625-05-18,Camerano,1713-12-15,Roma,Italie,,500118927,12573560q,20490339,0000000080999993,495/28765,Q538998
MarcAurele,,Marc Aurèle,Marc Aurèle; Empereur Marc-Aurelle; Marc Aurelle; Marc-Aurelle; Marc-Aurele; Marc Aurele,empereur romain de 161 à 180 et philosophe stoïcien,"personnalité politique, philosophe, écrivain ou écrivaine, monarque",0121-04-26,Rome,0180-03-17,Vindobona,Rome antique,,500115701,11914476c,102895066,000000011031946X,495/54003,Q1430
PierreDeMarca,Pierre de,Marca,Pierre de Marca; M. de Marca,archevêque français,"historien ou historienne, prêtre catholique, évêque catholique | Président du Parlement de Navarre, intendant de justice en Béarn et Navarre, maître des requêtes avant d'abandonner la justice pour la
            robe ecclésiastique en 1642.",1594-01-24,Gan,1662-06-29,Paris,France,,,12623327g,2592864,0000000080821909,495/90939,Q2302035
MarcantonioDellaTorre,della Torre,Marcantonio,Marco Antonio della Torre; Marc-Antoine de la Tour,anatomiste italien,"anatomiste, médecin",1473,Vérone,1506-09-22,Riva del Garda,république de Venise,,,,232516159,,,Q1752847
MarcusClaudiusMarcellus,Marcus Claudius,Marcellus,Marcus Claudius Marcellus; Marco Claudio Marcello; Marc Marcelle; Marcellus; Marcello,"consul romain en 222, 215, 214, 210 et 208 av. J.-C.","homme politique de la Rome antique, militaire romain, personnalité politique, chef militaire | général romain, héros de la deuxième guerre punique, homme politique (préteur et consul)",0270,Rome antique,0208,Venosa,Rome antique,,,,14690900,0000000063171510,495/243984,Q312306
FrancescoMarchetti,Francesco,Marchetti,Francesco Marchetti,n/a,imprimeur ou imprimeuse,,N/A,,N/A,,,,,209142484,0000000072724690,,Q112483055
PietroMariaMarchetti,Pietro Maria,Marchetti,Pietro Maria Marchetti; Pietro Maria Marchetti Fratelli,n/a,"imprimeur ou imprimeuse, éditeur ou éditrice",1565,N/A,1615,N/A,,,,,4883525,0000000054471941,,Q55995634
GuillaumeMarcillat,Guillaume de,Marcillat,Guillaume de Marseille; Guillaume de Marcilli; Marcilli,peintre français,French stained-glass maker.,1470-01-01,Châtres,1529-01-01,Arezzo,France,,500120245,170092376,155523932,0000000371429341,495/68338,Q1364424
GiambattistaMarino,Giambattista,Marino,Giambattista Marino; le Cavalier Marin; Cavalier Marin; le Cavalier; Marino,poète italien,"poète ou poétesse, écrivain ou écrivaine, dramaturge",1569-10-14,Naples,1625-03-25,Naples,royaume de Naples,,500322108,12158025x,41879078,0000000121297454,495/12258,Q332489
CaiusMarius,Caius,Marius,Caius Marius; Marius,général et homme politique romain,"prêtre romain, homme politique de la Rome antique, militaire romain, personnalité politique, chef militaire",0157,Arpino,0086-01-13,Rome,Rome antique,,500355378,125455012,82988171,0000000105351908,495/9010,Q177975
MichelDeMarolles,Michel de,Marolles,Michel de Marolles; M. l’Abbé de Marolles; Monsieur de Marolles,"prélat catholique, traducteur en français du Novum Testamentum d’Érasme","collectionneur ou collectionneuse d'œuvres d'art, linguiste, traducteur ou traductrice, érudit classique, historien ou historienne de
            l'art",1600-07-22,Genillé,1681-03-06,Paris,France,,500322130,12065552h,66489097,0000000080776263,495/155141,Q673168
